tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Tähe,42,Tähe,42,1,"Tartu linn, Tähe 42",659654.37,6473030.24,58.368540,26.728905,ok,1,EE00762383,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 42",
Tähtvere,21,Tähtvere,21,1,"Tartu linn, Tähtvere 21",655827.50,6476256.04,58.398862,26.665769,ok,1,CU03535746,"Tartu maakond, Tartu linn, Tähtvere küla, Tammevardi tee 21",
Tähtvere,14,Tähtvere,14,1,"Tartu linn, Tähtvere 14",658614.47,6474653.54,58.383488,26.712270,multiple,3,EE00749134,"Tartu maakond, Tartu linn, Tartu linn, Tähtvere tn 14",
Tähtvere,47,Tähtvere,47,1,"Tartu linn, Tähtvere 47",657887.63,6474252.76,58.380153,26.699593,ok,1,EE00772793,"Tartu maakond, Tartu linn, Tartu linn, Vikerkaare tn 47",
Tähtvere,9a,Tähtvere,9a,1,"Tartu linn, Tähtvere 9a",658095.34,6474597.20,58.383164,26.703366,multiple,4,EE01668562,"Tartu maakond, Tartu linn, Tartu linn, C. R. Jakobsoni tn 9a",
Tähtvere,11,Tähtvere,11,2,"Tartu linn, Tähtvere 11",658591.68,6474734.63,58.384222,26.711950,multiple,3,EE00773974,"Tartu maakond, Tartu linn, Tartu linn, Tähtvere tn 11",
Tähtvere,41,Tähtvere,41,1,"Tartu linn, Tähtvere 41",658520.76,6474641.94,58.383414,26.710673,multiple,2,ME00772635,"Tartu maakond, Tartu linn, Tartu linn, Jakobi tn 41",
Tähtvere,51,Tähtvere,51,1,"Tartu linn, Tähtvere 51",658410.12,6474916.60,58.385921,26.708967,ok,1,EE00749152,"Tartu maakond, Tartu linn, Tartu linn, Tähtvere tn 51",
Tööstuse,5,Tööstuse,5,1,"Tartu linn, Tööstuse 5",642205.43,6456491.98,58.226176,26.420735,multiple,3,EE00735793,"Tartu maakond, Elva vald, Elva linn, Tööstuse tn 5",
Tööstuse,13,Tööstuse,13,4,"Tartu linn, Tööstuse 13",642292.54,6456645.36,58.227520,26.422326,multiple,2,EE00768234,"Tartu maakond, Elva vald, Elva linn, Tööstuse tn 13",
Tööstuse,16,Tööstuse,16,1,"Tartu linn, Tööstuse 16",642320.71,6456786.26,58.228776,26.422888,ok,1,EE00761647,"Tartu maakond, Elva vald, Elva linn, Tööstuse tn 16",
Tööstuse,4,Tööstuse,4,1,"Tartu linn, Tööstuse 4",642221.37,6456578.54,58.226951,26.421060,multiple,5,EE01034501,"Tartu maakond, Elva vald, Elva linn, Tööstuse tn 4",
Tööstuse,18,Tööstuse,18,1,"Tartu linn, Tööstuse 18",642334.40,6456856.98,58.229409,26.423153,ok,1,CU03798106,"Tartu maakond, Elva vald, Elva linn, Tööstuse tn 18",
Uueturu,11,Uueturu,11,1,"Tartu linn, Uueturu 11",659756.77,6473695.09,58.374468,26.731126,multiple,4,CU00491571,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 11",
Uus-Kastani,16,Uus-Kastani,16,1,"Tartu linn, Uus-Kastani 16",,,,,not_found,0,,,
Uus-Kastani,3,Uus-Kastani,3,2,"Tartu linn, Uus-Kastani 3",,,,,not_found,0,,,
Uus-Kastani,8,Uus-Kastani,8,2,"Tartu linn, Uus-Kastani 8",,,,,not_found,0,,,
Uus-Savi,4,Uus-Savi,4,1,"Tartu linn, Uus-Savi 4",,,,,not_found,0,,,
Uus-Savi,2,Uus-Savi,2,1,"Tartu linn, Uus-Savi 2",,,,,not_found,0,,,
V-Kastani puiestee,6,V-Kastani puiestee,6,2,"Tartu linn, V-Kastani puiestee 6",,,,,not_found,0,,,
Vabaduse pst,13,Vabaduse pst,13,1,"Tartu linn, Vabaduse pst 13",658829.23,6475764.41,58.393367,26.716711,multiple,3,CU00496034,"Tartu maakond, Tartu linn, Tartu linn, Puiestee tn 13",
Vabaduse pst,22,Vabaduse pst,22,1,"Tartu linn, Vabaduse pst 22",,,,,not_found,0,,,
